Date,Player,Active Play Time,Mine Ancient Debris,Horse Rode,Deaths
2022-09-24,Jornmeijsen,4096800,11,,
2022-09-24,RedPolygon,4266000,0,579,
2022-09-24,iesdwoet,2318400,8,2894564,
2022-09-24,ngc_,6286800,0,23592,
2022-09-24,TuinSlipper,939600,0,3691,
2022-09-24,LuckyLuke1112,2602800,1,6566,
2022-09-25,ngc_,6301200,0,23592,
2022-09-25,LuckyLuke1112,2673600,1,6566,
2022-10-01,Rozenkwarts,991200,0,1426869,
2022-10-01,Jornmeijsen,4160400,36,,
2022-10-01,iesdwoet,2322000,8,2894564,
2022-10-01,ngc_,6302400,0,23592,
2022-10-03,RedPolygon,4336800,0,579,
2022-10-03,ngc_,6404400,0,23592,
2022-10-03,LuckyLuke1112,2839200,1,6566,
2022-10-04,RedPolygon,4357200,0,579,
2022-10-08,Jornmeijsen,4183200,36,,
2022-10-09,ngc_,6508800,0,23592,
2022-10-10,RedPolygon,4434000,0,579,
2022-10-10,ngc_,6588000,0,23592,
2022-10-10,LuckyLuke1112,2841600,1,6566,
2022-10-11,RedPolygon,4495200,0,579,
2022-10-11,ngc_,6646800,0,23592,
2022-10-13,ngc_,6702000,0,23592,
2022-10-14,RedPolygon,4658400,19,579,
2022-10-14,ngc_,6862800,11,23592,
2022-10-14,LuckyLuke1112,2842800,1,6566,
2022-10-15,RedPolygon,4764000,19,579,
2022-10-15,ngc_,6976800,11,23592,
2022-10-16,iesdwoet,2386800,8,2894564,
2022-10-20,ngc_,7047600,11,23592,
2022-10-24,RedPolygon,4831200,19,579,
2022-10-24,ngc_,7227600,11,23592,
2022-10-25,RedPolygon,4852800,19,579,
2022-10-25,ngc_,7248000,11,23592,
2022-10-27,TuinSlipper,966000,0,3691,
2022-10-28,RedPolygon,4958400,19,579,
2022-10-28,iesdwoet,2438400,8,2894564,
2022-10-28,ngc_,7356000,11,23592,
2022-10-29,ngc_,7454400,11,23592,
2022-10-30,Rozenkwarts,993600,0,1426869,
2022-10-30,ngc_,7476000,11,23592,
2022-10-30,LuckyLuke1112,2856000,1,6566,
2022-10-31,Rozenkwarts,1021200,0,1427151,
2022-11-01,Rozenkwarts,1027200,0,1427151,
2022-11-03,Rozenkwarts,1064400,0,1427151,
2022-11-04,Rozenkwarts,1096800,0,1427151,
2022-11-04,RedPolygon,4984800,19,579,
2022-11-04,iesdwoet,2444400,8,2894564,
2022-11-04,ngc_,7652400,11,23592,
2022-11-04,LuckyLuke1112,3062400,1,6566,
2022-11-05,RedPolygon,4988400,19,579,
2022-11-05,ngc_,7724400,11,23592,
2022-11-05,LuckyLuke1112,3159600,1,6566,
2022-11-06,iesdwoet,2449200,8,2894564,
2022-11-06,TuinSlipper,1000800,0,3691,
2022-11-07,ngc_,7728000,11,23592,
2022-11-10,ngc_,7808400,11,23592,
2022-11-11,RedPolygon,5032800,19,579,
2022-11-11,ngc_,8034000,11,23592,
2022-11-12,Jornmeijsen,4212000,36,,
2022-11-12,ngc_,8079600,11,23592,
2022-11-14,ngc_,8277600,11,23592,
2022-11-18,RedPolygon,5038800,19,579,
2022-11-18,ngc_,8420400,11,23592,
2022-11-18,LuckyLuke1112,3306000,1,6566,
2022-11-19,RedPolygon,5140800,19,579,
2022-11-19,ngc_,8524800,11,23592,
2022-11-19,LuckyLuke1112,3343200,1,6566,
2022-11-21,LuckyLuke1112,3416400,1,6566,
2022-11-24,ngc_,8575200,11,23592,
2022-11-25,RedPolygon,5203200,19,579,
2022-11-25,ngc_,8642400,11,23592,
2022-11-26,RedPolygon,5463600,19,579,
2022-11-26,ngc_,8862000,11,23592,
2022-12-09,RedPolygon,5587200,19,579,
2022-12-09,ngc_,8955600,11,23592,
2022-12-10,RedPolygon,5745600,19,579,
2022-12-10,ngc_,9153600,11,23592,
2022-12-11,RedPolygon,5767200,19,579,
2022-12-11,LuckyLuke1112,3426000,1,6566,
2022-12-16,RedPolygon,5878800,19,579,
2022-12-16,ngc_,9308400,11,23592,
2022-12-17,RedPolygon,5948400,19,579,
2022-12-17,ngc_,9325200,11,23592,
2022-12-24,LuckyLuke1112,3432000,1,6566,
2022-12-28,ngc_,9475200,11,23592,
2022-12-28,LuckyLuke1112,3584400,1,7006,
2023-01-01,RedPolygon,6070800,19,579,
2023-01-01,ngc_,9620400,11,23592,
2023-01-02,RedPolygon,6078000,19,579,
2023-01-02,ngc_,9626400,11,23592,
2023-01-06,RedPolygon,6206400,19,579,
2023-01-06,ngc_,9771600,11,23592,
2023-01-06,LuckyLuke1112,3706800,1,7658,
2023-01-07,RedPolygon,6286800,19,579,
2023-01-07,ngc_,9897600,11,23592,
2023-01-08,Jornmeijsen,4219200,36,,
2023-01-08,RedPolygon,6418800,19,579,
2023-01-08,ngc_,10057200,11,23592,
2023-01-09,RedPolygon,6522000,19,579,
2023-01-09,ngc_,10160400,11,23592,
2023-01-13,RedPolygon,6706800,19,579,
2023-01-13,ngc_,10357200,11,23592,
2023-01-13,LuckyLuke1112,3873600,1,7658,
2023-01-14,RedPolygon,6726000,19,579,
2023-01-14,iesdwoet,2578800,8,2894564,
2023-01-14,ngc_,10384800,11,23592,
2023-01-14,TuinSlipper,1094400,0,3691,
2023-01-15,Rozenkwarts,1314000,0,1526605,
2023-01-15,Jornmeijsen,4222800,36,,
2023-01-15,RedPolygon,6896400,19,579,
2023-01-15,iesdwoet,2871600,8,2894564,
2023-01-15,ngc_,10576800,11,23592,
2023-01-15,TuinSlipper,1533600,0,3691,
2023-01-16,Rozenkwarts,1398000,0,1526605,
2023-01-16,Jornmeijsen,4269600,36,,
2023-01-16,RedPolygon,6922800,19,579,
2023-01-16,ngc_,10623600,11,23592,
2023-01-16,TuinSlipper,1616400,0,3691,
2023-01-16,LuckyLuke1112,3987600,1,7658,
2023-01-17,Rozenkwarts,1458000,0,1526605,
